"","x"
"TCL6",0
"UXS1",0
"CDK10",0
"OIP5",0
"CPS1",0
"PEX5L",0
"TIMM50",0
"NRTN",0
"ZNF557",0
"AVIL",0
"THOC5",0
"GLI3",0
"ARHGAP4",0
"RYK",0
"CHRNA1",0
"DGCR2",0
"ACOX3",0
"ZNF107",0
"ASH1L",0
"ZBTB11",0
"WNT5A",0
"CD59",0
"ROS1",0
"TTF1",0
"CD72",0
"RHOB",0
"SLPI",0
"OSBP",0
"PAX7",0
"PAX1",0
"PRRX1",0
"REG1A",0
"BCAT1",0
"NUP85",0
"PLIN1",0
"ALPP",0
"PFKP",0
"PDIA6",0
"PGM1",0
"PLA2G1B",0
"IDH2",0
"PHKG2",0
"SERPINB6",0
"RRBP1",0
"PSG3",0
"MPZL1",0
"CUZD1",0
"KLRB1",0
"PTPRG",0
"PTPN7",0
"TCTA",0
"AANAT",0
"GPNMB",0
"PROZ",0
"ZBED5",0
"ANP32C",0
"PSG2",0
"GPM6A",0
"ADD3",0
"SPAG1",0
"CHAT",0
"AKR1B1",0
"PUM1",0
"ANKRD27",0
"ICK",0
"PSKH1",0
"ZNF510",0
"ALG13",0
"GOLGA4",0
"RARS",0
"ARG2",0
"TNFRSF17",0
"CHRD",0
"RBP3",0
"RRM2",0
"EPN3",0
"RPS21",0
"TOM1L2",0
"RPS15",0
"SPR",0
"ANKRD12",0
"ZNF227",0
"CCL1",0
"SLC17A1",0
"ATP1B2",0
"MACROD1",0
"SEC14L1",0
"SSTR4",0
"C2CD2L",0
"PRM1",0
"ZP2",0
"STATH",0
"CYP1A1",0
"SCP2",0
"NAT1",0
"VAMP1",0
"VAMP2",0
"CD27",0
"TFDP1",0
"CASQ2",0
"EVI5",0
"GRM3",0
"C16orf59",0
"RAB3GAP2",0
"TPBG",0
"SERPINF1",0
"ASGR1",0
"ZNF8",0
"ZNF10",0
"SI",0
"ATP2A1",0
"NAT2",0
"LAMP2",0
"GIF",0
"GM2A",0
"ATP2B2",0
"CLCN5",0
"SMARCA1",0
"IDH3G",0
"DIAPH2",0
"CLIC2",0
"CITED1",0
"EIF2S3",0
"EIF1AX",0
"IL1RAPL1",0
"SLC9A6",0
"UXT",0
"EDA2R",0
"KCND1",0
"KLF8",0
"MBTPS2",0
"TAF7L",0
"NXF3",0
"SSX3",0
"PPP2R3B",0
"TIMM8A",0
"NLGN4X",0
"ARHGEF9",0
"GRPR",0
"PHEX",0
"PIGA",0
"PRPS2",0
"RP2",0
"SOX3",0
"UTY",0
"BPY2",0
"EIF1AY",0
"CACNB2",0
"SYT2",0
"INPP5A",0
"SLC1A3",0
"DYNC1H1",0
"PDE4B",0
"APOBEC1",0
"MC4R",0
"GABRG3",0
"SCN1B",0
"DAD1",0
"NUBP1",0
"ADCY3",0
"AQP4",0
"BDKRB1",0
"CSTF3",0
"ABCC8",0
"NKX2-5",0
"IL18",0
"GYPC",0
"STK24",0
"EDN3",0
"EDN2",0
"ICAM4",0
"GYPB",0
"SRP9",0
"MPP2",0
"IFI35",0
"KISS1",0
"ARCN1",0
"GTF3A",0
"NRF1",0
"COL5A2",0
"COL5A1",0
"BMP5",0
"SLC12A3",0
"NPC2",0
"PLXNA2",0
"UBE2H",0
"THOP1",0
"PLA2G5",0
"TOP3A",0
"CLTCL1",0
"PNOC",0
"FGF12",0
"PROP1",0
"RND2",0
"RASA2",0
"SSPN",0
"CETN1",0
"EZH1",0
"PLA2G7",0
"ABCA4",0
"POU4F2",0
"UCP1",0
"POLRMT",0
"CCDC6",0
"CDH15",0
"NDUFS7",0
"GSC2",0
"CLOCK",0
"RAX",0
"GHSR",0
"WNT7B",0
"ENTPD2",0
"CALB2",0
"KCNJ15",0
"HSPB2",0
"SLC29A1",0
"GAL3ST1",0
"ARHGAP19",0
"HCRT",0
"KCNA10",0
"SLBP",0
"MICB",0
"FOXL2",0
"PCBP4",0
"RBM42",0
"REV3L",0
"HIST1H2AE",0
"KLRC3",0
"KLF9",0
"MARCKSL1",0
"PCDH7",0
"ARID1A",0
"TLR5",0
"GPR17",0
"SLC6A12",0
"CACNA1D",0
"CACNA1S",0
"VTI1B",0
"BFSP2",0
"KCNH1",0
"PPP1R3D",0
"DHX16",0
"MYH13",0
"WNT4",0
"DPM1",0
"RNGTT",0
"TIA1",0
"AP1S2",0
"KCNQ4",0
"RPS9",0
"GBF1",0
"KCNG1",0
"KCNS3",0
"RGS6",0
"RGS11",0
"CLCA1",0
"ZW10",0
"CA6",0
"SCD",0
"ARID5A",0
"MAP7",0
"CLEC5A",0
"DCTN3",0
"STX17",0
"ARPC5",0
"PLXNB2",0
"GRHPR",0
"CCK",0
"NKX2-2",0
"IL17B",0
"R3HDM2",0
"WNT6",0
"BCAR3",0
"PRPF18",0
"MED7",0
"TIMM17A",0
"PTGES",0
"SGK2",0
"RAB26",0
"NTSR2",0
"DHX38",0
"PRAME",0
"WNT5B",0
"NLRP3",0
"NEK7",0
"UBL5",0
"APOBEC3G",0
"DYNLRB1",0
"RBM12",0
"SEC24B",0
"RGS17",0
"POLE3",0
"EPM2A",0
"FERMT1",0
"NCAPD2",0
"PPP1R2P9",0
"RRAGB",0
"UFD1L",0
"MED16",0
"NXPH3",0
"SERGEF",0
"SUZ12",0
"ZNF609",0
"PARN",0
"COG2",0
"PTGES2",0
"DPYSL4",0
"P2RX1",0
"FOXN3",0
"BAAT",0
"DAZAP1",0
"CARHSP1",0
"GPATCH8",0
"MYH4",0
"KCNA1",0
"ABCA2",0
"P2RX3",0
"CSN1S1",0
"CSN2",0
"ULBP1",0
"TSKS",0
"SP140",0
"EIF3M",0
"IMP4",0
"MYL12B",0
"MUC13",0
"SEMA6D",0
"ERP44",0
"WDR7",0
"ZMYM6",0
"HELZ",0
"TSEN2",0
"SMG7",0
"LRRC8D",0
"USP47",0
"MICA",0
"HNRNPA0",0
"NUP43",0
"SATB2",0
"ZC3H7B",0
"CTDSPL",0
"KIAA0319",0
"TMEM222",0
"NLRP2",0
"SH3YL1",0
"ZNF330",0
"R3HDM1",0
"POLE2",0
"OAZ3",0
"SGMS1",0
"PLCE1",0
"AHDC1",0
"KIR2DL5A",0
"POLR2I",0
"NEFH",0
"CUX2",0
"UTF1",0
"KCNB2",0
"CABYR",0
"HIST3H2A",0
"FGD6",0
"TTC17",0
"USP39",0
"WDR61",0
"DOT1L",0
"EEF1E1",0
"UBE2J1",0
"LZTR1",0
"CDK2AP2",0
"SACM1L",0
"UNC5B",0
"MRPS34",0
"PKIG",0
"FAM193B",0
"WDR13",0
"CMPK1",0
"USP1",0
"TRPC7",0
"WDR4",0
"SLC37A1",0
"SESN1",0
"USP21",0
"NUP160",0
"UFSP2",0
"NFE2L1",0
"GPT",0
"RRP12",0
"CENPE",0
"OGFOD2",0
"TELO2",0
"C1orf174",0
"CP",0
"PLEKHA4",0
"IPCEF1",0
"SCAMP5",0
"YY1AP1",0
"GLRB",0
"SERPINA7",0
"CHKA",0
"POR",0
"BLVRB",0
"CHRNA2",0
"TYR",0
"SFTPB",0
"CHRNA5",0
"SAR1A",0
"CHML",0
"CS",0
"CPSF7",0
"CCDC88A",0
"ASB8",0
"NTN3",0
"STX18",0
"SLC22A5",0
"PSMD12",0
"ATP6V1G1",0
"ATP6V0D1",0
"TMPRSS3",0
"ZNF804A",0
"MRPL42",0
"SLC1A1",0
"NDUFV1",0
"MYO1F",0
"TULP2",0
"TRPV5",0
"LILRA3",0
"MNS1",0
"KRR1",0
"NDUFB1",0
"PGLS",0
"C10orf12",0
"C11orf16",0
"RASL11B",0
"GPBP1L1",0
"WDR37",0
"ELAVL3",0
"NLE1",0
"ZNF276",0
"RPL31",0
"KIAA0408",0
"TRAPPC6A",0
"USP18",0
"KRT6B",0
"DGCR6L",0
"ARC",0
"RBM4B",0
"SLC25A36",0
"UTP3",0
"DPPA4",0
"CTNNBL1",0
"C20orf27",0
"PLEKHF1",0
"KIAA0907",0
"SIRT6",0
"MRPL44",0
"CCDC130",0
"UQCRB",0
"FTSJ3",0
"NUP62CL",0
"HYI",0
"SNX7",0
"LIN37",0
"COX7A2L",0
"TMEM123",0
"OTUB2",0
"SH2D4A",0
"TRMT1",0
"NDUFAF1",0
"TCF25",0
"GNL3L",0
"RBM17",0
"TACO1",0
"ZFP64",0
"KIAA0368",0
"SIRT3",0
"SAMM50",0
"EIF5A2",0
"DHX58",0
"FAM46C",0
"ZMIZ2",0
"SPATA2",0
"PCID2",0
"CHST1",0
"FAM189A2",0
"FAM50B",0
"AASDHPPT",0
"USP53",0
"FBXO28",0
"ZNF646",0
"ISG20L2",0
"COL6A3",0
"ADAMTSL4",0
"SCGN",0
"BAZ2B",0
"HPCAL4",0
"MRFAP1L1",0
"FIP1L1",0
"FAM153A",0
"CHMP7",0
"HIST1H3G",0
"HHLA3",0
"MRPL20",0
"ZNF580",0
"PRR14",0
"GALT",0
"PLAC8",0
"CYB5R2",0
"SEC24A",0
"DDAH2",0
"SEMA4G",0
"ASB13",0
"HDHD3",0
"ZBTB7B",0
"GIN1",0
"FAM127B",0
"DNAL4",0
"WDR25",0
"ZCCHC10",0
"ETNK2",0
"MUL1",0
"SLC22A6",0
"RRS1",0
"SEC23B",0
"HSPB7",0
"PTCD3",0
"PCGF1",0
"FRYL",0
"C19orf60",0
"BAALC",0
"DHRS1",0
"DCAF8",0
"ZBTB24",0
"MAPKAP1",0
"ZNF232",0
"ZSCAN16",0
"DCC",0
"LLPH",0
"ZCCHC14",0
"C18orf25",0
"NUDCD3",0
"C1orf116",0
"ARAP1",0
"YIPF4",0
"CINP",0
"CIAPIN1",0
"JAKMIP2",0
"ARPC5L",0
"OBFC1",0
"DCTN5",0
"TRAPPC2L",0
"C11orf68",0
"C9orf16",0
"PARP11",0
"FAM60A",0
"CENPO",0
"FAM13C",0
"TNFAIP8",0
"EGLN1",0
"ITGB1BP2",0
"RHBDF1",0
"C8G",0
"LIME1",0
"SOX1",0
"FGF17",0
"FGF18",0
"SPSB1",0
"CLCA2",0
"SOCS5",0
"ZNF274",0
"PRDX2",0
"POFUT1",0
"PIP4K2C",0
"TRAFD1",0
"PSMD6",0
"NOX4",0
"CNPY4",0
"AZI2",0
"GAPVD1",0
"ZDHHC4",0
"HOXA3",0
"HOXC4",0
"HMGXB4",0
"SLC25A4",0
"LRP3",0
"MYH10",0
"ADIPOR1",0
"IAPP",0
"SLC27A5",0
"DUSP26",0
"PPP2R2B",0
"GREM1",0
"RCAN3",0
"ATXN10",0
"CNP",0
"POU2F3",0
"IL32",0
"C1orf61",0
"HAGH",0
"GGTLC1",0
"OLFML3",0
"PKLR",0
"UBASH3A",0
"DNAJB4",0
"ACO2",0
"CCT6A",0
"TXNL1",0
"PHGDH",0
"STOML2",0
"GMPS",0
"MRPS22",0
"TUBA1C",0
"PLS3",0
"PPM1E",0
"COX5B",0
"ABCB11",0
"ABCB4",0
"IL10RB",0
"NGLY1",0
"DLC1",0
"NEB",0
"ACTL7A",0
"PLA2G15",0
"ADI1",0
"SHOX",0
"ITIH4",0
"NUPL2",0
"YIPF5",0
"HOXD13",0
"HOXC13",0
"HOXB8",0
"HOXA2",0
"GAA",0
"MGAM",0
"MMP20",0
"MMP19",0
"PPP1R1A",0
"TMEM62",0
"C11orf58",0
"RNF220",0
"DPP3",0
"NDUFB3",0
"BRIX1",0
"C1orf123",0
"TTLL5",0
"RPS4X",0
"ARMCX3",0
"C10orf88",0
"ZC3H7A",0
"NOL12",0
"CYP19A1",0
"PTOV1",0
"CCDC86",0
"NIPBL",0
"MAGED2",0
"ST3GAL2",0
"C16orf45",0
"ELL3",0
"NDUFS6",0
"ZDHHC6",0
"RPS6KA6",0
"AGK",0
"MARCH7",0
"GAL3ST4",0
"HN1L",0
"ILVBL",0
"MYL9",0
"MKKS",0
"TBRG4",0
"WFDC2",0
"HSPBAP1",0
"SPIN1",0
"SUPT7L",0
"CELSR1",0
"ZZEF1",0
"SLC16A8",0
"ZNF593",0
"RFK",0
"KCTD15",0
"DPF1",0
"WSB2",0
"KRI1",0
"C15orf39",0
"TSSC4",0
"TMEM43",0
"CCDC47",0
"LIPT1",0
"TRIOBP",0
"MGEA5",0
"MGST3",0
"DDO",0
"COQ6",0
"SIRT7",0
"GPR135",0
"C8orf33",0
"MTF2",0
"RNASE6",0
"MYO15A",0
"HJURP",0
"RER1",0
"STMN4",0
"EML4",0
"WDR74",0
"DDX49",0
"MTFR1",0
"RAB31",0
"KBTBD4",0
"B3GNTL1",0
"SMS",0
"HIST1H2AC",0
"ORAI2",0
"ADPGK",0
"ZNF277",0
"APOM",0
"PPP2R2D",0
"C9orf78",0
"WDR91",0
"DSC1",0
"IL33",0
"SLC2A3",0
"NDUFA1",0
"CENPT",0
"INTS1",0
"MRPL28",0
"SEL1L3",0
"NOL11",0
"ANKRD7",0
"WFS1",0
"MRPS31",0
"MRPL9",0
"ENY2",0
"EGFL6",0
"SNX24",0
"QTRT1",0
"PANK4",0
"DDX42",0
"AAGAB",0
"CYB561D2",0
"RUFY3",0
"FKBPL",0
"MCTS1",0
"CWF19L1",0
"PDPN",0
"UBXN4",0
"ITFG2",0
"SLC38A3",0
"C11orf1",0
"TRIM16",0
"LSM14B",0
"NCAPD3",0
"HN1",0
"MOGS",0
"TWF2",0
"CCDC92",0
"MGLL",0
"CGGBP1",0
"NRSN2",0
"LSM12",0
"B3GNT4",0
"ZFAND3",0
"RNF32",0
"INO80B",0
"FBP2",0
"GMFG",0
"THNSL2",0
"SLC38A2",0
"HAUS2",0
"DPP6",0
"AFG3L2",0
"BSDC1",0
"TMEM70",0
"RNF114",0
"NUCKS1",0
"C7orf26",0
"TRIM46",0
"NAT6",0
"C6orf62",0
"FAM188A",0
"DCAF10",0
"CAMKV",0
"FAM131A",0
"WDR3",0
"ATG9A",0
"MTG1",0
"CACNG3",0
"KNTC1",0
"IPP",0
"MFN2",0
"SLC15A2",0
"SLCO1A2",0
"SLCO1C1",0
"MEX3D",0
"PRPF8",0
"LRP10",0
"PLIN2",0
"CHRM5",0
"TACR1",0
"TACR2",0
"TACR3",0
"APOL2",0
"EHMT1",0
"SLC6A5",0
"GRIP2",0
"DOHH",0
"SLC26A3",0
"DDX58",0
"ARHGAP24",0
"NXN",0
"ATP5L",0
"MRPL19",0
"HLA-DPB1",0
"PIK3C2A",0
"SH3BGRL3",0
"ATP6V0A2",0
"HSPA4L",0
"IGF2BP2",0
"SLC15A1",0
"PREPL",0
"SLC22A3",0
"FBXO3",0
"ALPI",0
"LRRC59",0
"ACSL3",0
"TCFL5",0
"RPL3",0
"YARS",0
"RPS16",0
"RPS8",0
"ZNF155",0
"PDE6H",0
"KIF2A",0
"DCAF11",0
"DTL",0
"CMKLR1",0
"UBE2Q1",0
"CADM4",0
"FGFR1OP",0
"TIAM2",0
"ARPC1A",0
"TMEM33",0
"FBXO11",0
"OLR1",0
"TXNRD2",0
"LGI1",0
"MYH14",0
"PPP4R4",0
"MYO5A",0
"MTCH2",0
"RGN",0
"ING3",0
"TMEM161A",0
"HMGN3",0
"TSPAN1",0
"PSMD14",0
"SDHB",0
"FBXL6",0
"ZBTB38",0
"GPR25",0
"GUCY1A3",0
"MPHOSPH9",0
"KIF14",0
"MYL12A",0
"RNASE2",0
"EPO",0
"PTP4A3",0
"FABP1",0
"FOLR1",0
"FH",0
"PRB4",0
"LECT1",0
"ADA",0
"GAL",0
"SLC6A1",0
"ATP4B",0
"AMPD1",0
"NYNRIN",0
"SLC2A2",0
"GRIK3",0
"AK1",0
"ADCY2",0
"GRIN2C",0
"GFPT1",0
"CXCL6",0
"CXCL3",0
"GHRHR",0
"GH2",0
"SNX19",0
"GUCA2A",0
"GUCY1B3",0
"HPR",0
"RSRC2",0
"FA2H",0
"CCDC134",0
"TEF",0
"BCKDK",0
"ST5",0
"AKR1A1",0
"HPCA",0
"ALAS1",0
"HTN1",0
"AMN",0
"HRC",0
"METTL9",0
"RASSF7",0
"KIR2DL1",0
"HOXA7",0
"HOXC8",0
"HOXD9",0
"HOXD11",0
"HOXD12",0
"HIVEP2",0
"NAGA",0
"ZNF91",0
"ZNF142",0
"ITIH3",0
"IL7",0
"URGCP",0
"IGFBP1",0
"IGFBP2",0
"RPL38",0
"IL9",0
"IGKC",0
"FUT4",0
"IVL",0
"ADRA2B",0
"IRF9",0
"IL1RN",0
"IL13",0
"IL4",0
"PON2",0
"PTPRT",0
"KRT31",0
"SLC3A1",0
"LTK",0
"PDLIM3",0
"LAMP1",0
"LAG3",0
"MRC1",0
"BEST1",0
"MC3R",0
"CD200",0
"MTAP",0
"MTR",0
"HERC2",0
"CD33",0
"MYH11",0
"MYL3",0
"PCSK1N",0
"NHLH1",0
"AZU1",0
"TRIM62",0
"ZNHIT6",0
"ZNF41",0
"C22orf46",0
"MORC4",0
"TSKU",0
"ZBTB3",0
"C12orf10",0
"ST6GALNAC2",0
"ZNF329",0
"PRDM4",0
"ACE",0
"SLC4A3",0
"NOP2",0
"OMP",0
"CUEDC1",0
